Combination,Combination ID,Run,Generation,Fitness
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,18,1.4026199999999998
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,19,1.4026199999999998
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,20,1.4341
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,21,1.45553
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,22,1.45553
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,23,1.45553
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,24,1.45981
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,25,1.45981
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,26,1.45981
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,27,1.45981
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,28,1.45981
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,29,1.46696
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,30,1.46696
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,31,1.48338
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,32,1.48338
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,33,1.51124
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,34,1.51124
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,35,1.51124
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,36,1.51124
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,37,1.51124
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,38,1.51124
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,39,1.51124
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,40,1.51124
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,41,1.51124
